01.12.2017 17:21:00 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:04 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:07 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:10 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:11 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:13 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:14 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:16 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:17 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:19 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:20 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:21 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:22 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:23 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:23 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:24 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:25 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:21:25 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
