11.07.2017 23:29:21 | <Bellek Modülünde> | CallSite.Target |  | 0 | 19262 Referanslı Gelen ARP_VOUCHERS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
11.07.2017 23:31:44 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 53 | Start Execute Method
11.07.2017 23:31:59 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 53 | Start Execute Method
11.07.2017 23:32:03 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 53 | Start Execute Method
11.07.2017 23:32:07 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 258 | Gelen SD_TRANSACTIONS Logoya Aktarılmaya Çalışılıyor
11.07.2017 23:32:08 | <Bellek Modülünde> | CallSite.Target |  | 0 | 6743 Referanslı Gelen SD_TRANSACTIONS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
11.07.2017 23:32:09 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 53 | Start Execute Method
11.07.2017 23:32:13 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 121 |  : 109 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
11.07.2017 23:32:13 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 53 | Start Execute Method
11.07.2017 23:32:16 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 470 | Gelen ARP_VOUCHERS Logoya Aktarılmaya Çalışılıyor
11.07.2017 23:32:16 | <Bellek Modülünde> | CallSite.Target |  | 0 | 19263 Referanslı Gelen ARP_VOUCHERS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
11.07.2017 23:32:17 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 53 | Start Execute Method
11.07.2017 23:32:20 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 470 | Gelen ARP_VOUCHERS Logoya Aktarılmaya Çalışılıyor
