10.07.2017 15:05:48 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:00601 ANKARA OPTIMUM AVM113 113HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:05:48 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:00601 ANKARA OPTIMUM AVM114 114HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:05:49 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:00601 ANKARA OPTIMUM AVM115 115HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:08:13 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 155 | Gelen SALES_INVOICES Logoya Aktarılmaya Çalışılıyor
10.07.2017 15:08:16 | <Bellek Modülünde> | CallSite.Target |  | 0 | 48256 Referanslı Gelen SALES_INVOICES Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
10.07.2017 15:08:17 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 341 | Gelen ARP_VOUCHERS Logoya Aktarılmaya Çalışılıyor
10.07.2017 15:08:18 | <Bellek Modülünde> | CallSite.Target |  | 0 | 19280 Referanslı Gelen ARP_VOUCHERS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
10.07.2017 15:08:18 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:003450 VIALAND109 109HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:08:18 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:003450 VIALAND110 110HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:08:19 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:003450 VIALAND111 111HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:08:19 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:003450 VIALAND112 112HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:08:19 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:003450 VIALAND113 113HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:08:20 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 341 | Gelen ARP_VOUCHERS Logoya Aktarılmaya Çalışılıyor
10.07.2017 15:08:20 | <Bellek Modülünde> | CallSite.Target |  | 0 | 19281 Referanslı Gelen ARP_VOUCHERS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
